#Длина кристалла; количество шагов в среднем за тысячу итераций
10;15.096
15;36.623
20;66.823
25;95.657
30;148.638
35;195.064
40;250.46
45;355.23
50;425.042
55;515.314
60;607.639
65;691.729
70;781.997
75;863.416
80;1081.66
85;1143.63
90;1403.73
95;1416
100;1726.19
105;1859.55
110;2080.39
115;2212.75
120;2434.56
125;2587.75
130;2833.37
135;2974.07
140;3543.51
145;3521.34
150;3526.67
155;3885.98
160;4319.96
165;4399.79
170;4480.85
175;5211.33
180;4884.23
185;5711.29
190;6149.52
195;6348.08
200;6554.21
205;7387.46
210;7379.97
215;7500.6
220;8108.79
225;8009.91
230;8977.62
235;9252.07
240;9742.08
245;9704.74
250;9587.95
255;10363.4
260;11051.9
265;11848.9
270;12158.6
275;11621.2
280;13188.9
285;14067.1
290;13499.1
295;14075
300;14756.9
305;15149.2
310;15179.9
315;17670.6
320;17087.7
325;17990.7
330;18568.8
335;18200.5
340;20034.1
345;19034.9
350;19441.1
355;20205.9
360;21836.3
365;21914.9
370;24381.6
375;23744.7
380;26791.9
385;24506
390;24629
395;27316.4
400;24975.5
405;24708.7
410;29630.8
415;29249.4
420;29949.8
425;30648.2
430;31243.7
435;30511.1
440;33840.1
445;35588
450;32369
455;35217.8
460;35802.7
465;36685.2
470;36020.7
475;37605.3
480;39764.4
485;38335.3
490;40198.5
495;41357.1
500;38421.4
505;41210
510;41061.8
515;44455.6
520;43139.3
525;46943.2
530;46626.8
535;46513.7
540;48946.9
545;49540.9
550;52243.2
555;53230.8
560;52054.1
565;52452.4
570;54083.7
575;52585.9
580;52827.7
585;53703.5
590;60188.6
595;56546.7
600;60259.4
605;57311.4
610;63118.9
615;63726.5
620;62934.5
625;62662.6
630;69411.9
635;64875.3
640;75475.7
645;68553.8
650;70279.6
655;71302.5
660;71756.6
665;76712.3
670;74835.2
675;74458.4
680;76431.4
685;75249.8
690;83456
695;76947.2
700;80072.3
705;76647.6
710;77641.9
715;81729.6
720;77629.5
725;89664.8
730;87889.1
735;86590.7
740;89105.4
745;95590.7
750;93696.8
755;92587
760;95131.9
765;96977.8
770;99285
775;101424
780;99774.5
785;103616
790;108903
795;101291
800;101258
805;107441
810;103650
815;116256
820;108056
825;115261
830;118822
835;118371
840;118232
845;121315
850;121493
855;121632
860;118144
865;127949
870;127318
875;134424
880;135242
885;128216
890;129010
895;133649
900;135563
905;142367
910;132945
915;140101
920;145110
925;138158
930;145664
935;141177
940;146545
945;153090
950;142423
955;142489
960;157505
965;160178
970;147313
975;156074
980;172732
985;165014
990;154998
995;165184
1000;168019
